Districts,Confirmed,Recovered,Deaths,Active
Jammu,80634,79009,1233,392
Udhampur,15217,15042,149,26
Rajouri,13081,12805,250,26
Doda,11824,11563,144,117
Kathua,11763,11571,169,23
Samba,9308,9143,126,39
Kishtwar,6160,6075,46,39
Poonch,7919,7771,111,37
Ramban,8360,8255,69,36
Reasi,8732,8679,49,4
Srinagar,108450,106229,911,1310
Baramula,40539,38637,304,1598
Budgam,35969,35527,237,205
Pulwama,18663,18363,201,99
Kupwara,22635,22240,174,221
Anantnag,23027,22635,219,173
Bandipora,14013,13848,119,46
Ganderbal,13899,13778,86,35
Kulgam,16681,16425,120,136
Shopian,6345,6268,60,17